# LMFDB BJT fixture generated by `clgrp build-bjt-fixture`
# seed=20260217
# scan_limit=40000
# generated_unix=1771317392
# r	m	k	line	delta	discriminant	class_number	invariant_factors_csv
3	8	1	6707	2	-268501683	2400	2400
3	8	1	6708	1	-268501691	7956	7956
3	8	1	6743	1	-268502027	6466	6466
3	8	1	6763	1	-268502227	1704	1704
3	8	1	6783	2	-268502435	7052	3526,2
3	8	1	6791	1	-268502523	3054	3054
3	8	1	6898	2	-268503555	3408	852,2,2
3	8	1	6909	2	-268503659	6488	6488
3	8	1	6936	1	-268503931	3232	808,4
3	8	1	6943	1	-268503995	3904	3904
3	8	1	7004	1	-268504603	1938	1938
3	8	1	7039	1	-268504931	6034	6034
3	8	1	7057	1	-268505131	3192	1596,2
3	8	1	7074	2	-268505315	4464	558,2,2,2
3	8	1	7078	1	-268505347	1836	918,2
3	8	1	7088	1	-268505435	4560	570,2,2,2
3	8	1	7150	3	-268506043	1720	430,2,2
3	8	1	7168	1	-268506219	4032	2016,2
3	8	1	7214	2	-268506683	4420	2210,2
3	8	1	7273	1	-268507235	9446	9446
3	8	1	7307	1	-268507571	7936	1984,4
3	8	1	7366	1	-268508163	2616	654,2,2
3	8	1	7372	1	-268508219	6736	6736
3	8	1	7435	1	-268508819	6968	3484,2
3	8	1	7461	1	-268509091	2420	1210,2
3	8	1	7484	1	-268509323	5361	5361
3	8	1	7549	1	-268509971	4692	4692
3	8	1	7564	2	-268510139	7694	7694
3	8	1	7570	1	-268510187	5552	2776,2
3	8	1	7606	1	-268510531	2820	1410,2
3	8	1	7620	1	-268510659	4672	2336,2
3	8	1	7621	1	-268510667	5830	5830
3	8	1	7652	1	-268510971	3368	842,2,2
3	8	1	7667	1	-268511123	5121	1707,3
3	8	1	7691	2	-268511363	4056	1014,2,2
3	8	1	7747	1	-268511907	3632	1816,2
3	8	1	7778	1	-268512211	2874	2874
3	8	1	7790	1	-268512347	6562	6562
3	8	1	7875	1	-268513195	2944	2944
3	8	1	7880	1	-268513243	2228	2228
3	8	1	7932	1	-268513755	3440	860,2,2
3	8	1	7986	2	-268514299	3172	3172
3	8	1	8020	1	-268514627	6880	1720,2,2
3	8	1	8035	1	-268514779	3128	782,2,2
3	8	1	8052	1	-268514947	3195	3195
3	8	1	8062	2	-268515059	7360	7360
3	8	1	8159	1	-268515995	6464	1616,4
3	8	1	8162	1	-268516019	5565	5565
3	8	1	8175	1	-268516147	1705	1705
3	8	1	8278	2	-268517179	3520	1760,2
3	8	1	8287	2	-268517267	3836	1918,2
3	8	1	8315	1	-268517523	2504	2504
3	8	1	8382	1	-268518171	4696	1174,2,2
3	8	1	8413	1	-268518467	5110	5110
3	8	1	8442	1	-268518787	2854	2854
3	8	1	8466	1	-268519035	2916	1458,2
3	8	1	8511	1	-268519459	4228	2114,2
3	8	1	8558	2	-268519931	7367	7367
3	8	1	8590	1	-268520243	4922	4922
3	8	1	8611	1	-268520443	1948	1948
3	8	1	8628	1	-268520611	3515	3515
3	8	1	8673	1	-268521051	4192	4192
3	8	1	8850	1	-268522835	6448	1612,2,2
3	8	1	8859	1	-268522923	2464	616,2,2
3	8	1	8878	1	-268523107	3195	3195
3	8	1	9000	1	-268524307	2463	2463
3	8	1	9062	1	-268524915	3936	984,2,2
3	8	1	9112	2	-268525403	5706	5706
3	8	1	9116	1	-268525435	3688	1844,2
3	8	1	9147	1	-268525747	2416	2416
3	8	1	9227	2	-268526555	5544	1386,2,2
3	8	1	9230	1	-268526579	11024	2756,4
3	8	1	9261	1	-268526891	10411	10411
3	8	1	9326	1	-268527539	4930	4930
3	8	1	9327	1	-268527547	2156	2156
3	8	1	9359	1	-268527859	3768	3768
3	8	1	9389	1	-268528163	3372	1686,2
3	8	1	9394	2	-268528211	9328	4664,2
3	8	1	9418	1	-268528443	3056	1528,2
3	8	1	9422	2	-268528483	2555	2555
3	8	1	9450	1	-268528747	1519	1519
3	8	1	9473	1	-268528971	5128	2564,2
3	8	1	9479	1	-268529027	4794	4794
3	8	1	9519	1	-268529443	2272	1136,2
3	8	1	9592	1	-268530139	3698	3698
3	8	1	9646	1	-268530707	5046	5046
3	8	1	9899	1	-268533195	3200	400,2,2,2
3	8	1	9993	1	-268534099	2495	2495
3	8	1	10030	1	-268534459	2496	624,4
3	8	1	10041	1	-268534571	6194	6194
3	8	1	10109	1	-268535243	3489	3489
3	8	1	10114	1	-268535299	3032	758,2,2
3	8	1	10249	2	-268536619	2164	1082,2
3	8	1	10258	1	-268536715	2470	2470
3	8	1	10288	2	-268536995	5100	2550,2
3	8	1	10300	2	-268537139	7700	770,10
3	8	1	10378	1	-268537907	4326	4326
3	8	1	10382	1	-268537947	3976	994,2,2
3	8	1	10478	2	-268538883	2626	2626
3	8	1	10510	1	-268539195	2544	636,2,2
3	8	1	10520	2	-268539299	6392	3196,2
3	8	1	10553	1	-268539619	5482	5482
3	8	1	10626	1	-268540347	3512	878,2,2
3	8	1	10740	1	-268541443	2201	2201
3	8	1	10767	1	-268541723	3438	3438
3	8	1	10780	1	-268541851	3789	3789
3	8	1	10861	1	-268542643	2730	2730
3	8	1	10967	4	-268543691	7096	1774,2,2
3	8	1	11050	1	-268544515	2150	2150
3	8	1	11183	1	-268545819	4968	828,6
3	8	1	11215	1	-268546147	2173	2173
3	8	1	11247	1	-268546451	12290	12290
3	8	1	11307	1	-268547051	6350	6350
3	8	1	11308	1	-268547059	2720	340,4,2
3	8	1	11310	1	-268547091	3990	3990
3	8	1	11326	1	-268547251	3072	1536,2
3	8	1	11338	1	-268547371	3503	3503
3	8	1	11402	1	-268548019	3271	3271
3	8	1	11407	1	-268548059	6856	6856
3	8	1	11411	1	-268548099	3872	1936,2
3	8	1	11541	1	-268549403	5136	2568,2
3	8	1	11548	1	-268549467	3008	752,2,2
3	8	1	11550	1	-268549491	4000	500,4,2
3	8	1	11569	1	-268549691	4854	4854
3	8	1	11573	2	-268549739	10535	10535
3	8	1	11645	2	-268550435	8042	8042
3	8	1	11678	1	-268550771	6696	3348,2
3	8	1	11739	1	-268551371	6320	3160,2
3	8	1	11795	1	-268551931	3167	3167
3	8	1	11821	1	-268552171	4599	4599
3	8	1	11840	1	-268552363	2170	2170
3	8	1	11874	1	-268552707	3696	1848,2
3	8	1	11889	1	-268552843	2424	1212,2
3	8	1	11892	1	-268552867	2208	1104,2
3	8	1	11903	2	-268552979	6167	6167
3	8	1	11947	1	-268553395	3088	1544,2
3	8	1	11977	1	-268553707	1789	1789
3	8	1	11986	1	-268553787	2944	736,2,2
3	8	1	12032	1	-268554227	4346	4346
3	8	1	12204	1	-268555947	2376	594,2,2
3	8	1	12214	1	-268556035	2592	324,2,2,2
3	8	1	12241	1	-268556307	3278	3278
3	8	1	12251	1	-268556403	2660	2660
3	8	1	12298	1	-268556851	4861	4861
3	8	1	12333	1	-268557187	2358	2358
3	8	1	12384	1	-268557699	3028	3028
3	8	1	12388	1	-268557747	4524	2262,2
3	8	1	12393	2	-268557803	4958	4958
3	8	1	12494	1	-268558795	2516	1258,2
3	8	1	12515	1	-268558995	4256	532,2,2,2
3	8	1	12521	1	-268559051	8245	8245
3	8	1	12591	1	-268559731	3382	3382
3	8	1	12618	1	-268559987	4240	4240
3	8	1	12623	2	-268560035	5424	1356,2,2
3	8	1	12735	1	-268561131	3670	3670
3	8	1	12804	1	-268561819	2911	2911
3	8	1	12839	1	-268562171	6490	6490
3	8	1	12871	3	-268562491	2812	2812
3	8	1	12885	1	-268562611	2280	2280
3	8	1	12889	1	-268562651	5240	1310,2,2
3	8	1	12931	2	-268563059	6224	3112,2
3	8	1	12941	1	-268563163	1636	1636
3	8	1	12995	2	-268563707	6324	6324
3	8	1	12997	1	-268563723	3600	600,6
3	8	1	13017	1	-268563907	3212	1606,2
3	8	1	13018	2	-268563923	4453	4453
3	8	1	13044	1	-268564187	4459	4459
3	8	1	13053	2	-268564283	2784	348,2,2,2
3	8	1	13149	1	-268565243	3660	3660
3	8	1	13185	1	-268565587	1950	1950
3	8	1	13187	1	-268565603	4496	4496
3	8	1	13194	2	-268565683	2009	2009
3	8	1	13214	2	-268565883	2780	1390,2
3	8	1	13228	3	-268566019	3221	3221
3	8	1	13369	1	-268567395	4068	2034,2
3	8	1	13402	2	-268567739	6392	6392
3	8	1	13463	1	-268568339	6840	6840
3	8	1	13467	2	-268568387	5308	2654,2
3	8	1	13493	1	-268568643	3168	792,2,2
3	8	1	13557	1	-268569291	3352	3352
3	8	1	13662	1	-268570315	3536	1768,2
3	8	1	13672	1	-268570411	2542	2542
3	8	1	13708	1	-268570771	3256	3256
3	8	1	13722	2	-268570907	4328	2164,2
3	8	1	13728	1	-268570955	4932	2466,2
3	8	1	13740	2	-268571083	2544	636,2,2
3	8	1	13742	1	-268571099	7828	7828
3	8	1	13796	1	-268571635	3638	3638
3	8	1	13834	1	-268572011	4920	2460,2
3	8	1	13866	1	-268572331	3967	3967
3	8	1	13957	1	-268573227	4000	500,2,2,2
3	8	1	14035	1	-268573987	2472	618,2,2
3	8	1	14041	1	-268574043	3576	1788,2
3	8	1	14127	1	-268574899	3842	3842
3	8	1	14194	1	-268575555	4712	1178,2,2
3	8	1	14213	1	-268575739	3585	3585
3	8	1	14228	1	-268575899	4684	2342,2
3	8	1	14236	1	-268575971	8060	8060
3	8	1	14255	1	-268576147	1896	948,2
3	8	1	14282	1	-268576411	3605	3605
3	8	1	14322	1	-268576819	2912	728,2,2
3	8	1	14324	1	-268576835	4808	2404,2
3	8	1	14325	1	-268576843	2218	2218
3	8	1	14334	1	-268576923	4704	2352,2
3	8	1	14379	1	-268577371	4188	2094,2
3	8	1	14426	1	-268577835	2240	280,2,2,2
3	8	1	14435	1	-268577923	2832	1416,2
3	8	1	14454	1	-268578123	2648	662,2,2
3	8	1	14530	1	-268578851	6438	6438
3	8	1	14534	2	-268578899	7224	7224
3	8	1	14557	1	-268579131	3730	3730
3	8	1	14570	1	-268579243	2112	1056,2
3	8	1	14609	1	-268579643	4760	1190,2,2
3	8	1	14620	1	-268579771	3577	3577
3	8	1	14655	1	-268580107	2460	1230,2
3	8	1	14767	1	-268581179	7248	3624,2
3	8	1	14779	1	-268581323	6120	2040,3
3	8	1	14785	1	-268581379	3632	908,4
3	8	1	14795	1	-268581499	2888	1444,2
3	8	1	14840	1	-268581939	5100	2550,2
3	8	1	14898	1	-268582515	3904	976,2,2
3	8	1	14919	1	-268582723	2373	2373
3	8	1	14933	1	-268582843	2434	2434
3	8	1	14997	2	-268583507	4843	4843
3	8	1	15099	2	-268584515	6676	3338,2
3	8	1	15105	1	-268584571	3060	3060
3	8	1	15106	2	-268584587	5030	5030
3	8	1	15146	1	-268584979	3120	780,4
3	8	1	15191	1	-268585411	3072	3072
3	8	1	15220	1	-268585715	4932	2466,2
3	8	1	15255	1	-268586051	8712	4356,2
3	8	1	15260	1	-268586107	2472	2472
3	8	1	15261	1	-268586115	3424	856,2,2
3	8	1	15310	2	-268586603	6648	1662,2,2
3	8	1	15413	2	-268587611	8142	8142
3	8	1	15415	1	-268587627	2944	368,2,2,2
3	8	1	15475	1	-268588195	2180	1090,2
3	8	1	15548	1	-268588931	6594	6594
3	8	1	15614	1	-268589571	5756	2878,2
3	8	1	15616	1	-268589587	2016	504,4
3	8	1	15619	1	-268589611	3382	3382
3	8	1	15626	2	-268589683	3016	3016
3	8	1	15767	1	-268591123	1988	994,2
3	8	1	15825	2	-268591683	3960	1980,2
3	8	1	15860	1	-268592019	5252	2626,2
3	8	1	15884	1	-268592243	4793	4793
3	8	1	15924	1	-268592627	4408	4408
3	8	1	16033	1	-268593707	3706	3706
3	8	1	16034	1	-268593715	2844	1422,2
3	8	1	16111	1	-268594491	4672	292,2,2,2,2
3	8	1	16148	1	-268594843	2944	736,2,2
3	8	1	16230	1	-268595643	3180	1590,2
3	8	1	16239	1	-268595731	4731	4731
3	8	1	16306	1	-268596403	2759	2759
3	8	1	16320	2	-268596539	7119	7119
3	8	1	16332	1	-268596659	5156	5156
3	8	1	16403	1	-268597355	5528	1382,2,2
3	8	1	16416	1	-268597491	3438	1146,3
3	8	1	16417	1	-268597499	5472	1368,4
3	8	1	16440	1	-268597723	2088	2088
3	8	1	16535	1	-268598667	2720	340,2,2,2
3	8	1	16549	1	-268598819	6825	6825
3	8	1	16607	1	-268599403	2522	2522
3	8	1	16677	2	-268600139	7269	7269
3	8	1	16718	1	-268600523	4844	2422,2
3	8	1	16814	1	-268601451	5784	2892,2
3	8	1	16826	1	-268601563	3526	3526
3	8	1	16827	2	-268601579	5740	5740
3	8	1	16913	1	-268602451	4154	4154
3	8	1	16974	1	-268603059	6200	6200
3	8	1	17000	1	-268603323	3096	774,2,2
3	8	1	17049	2	-268603811	4488	2244,2
3	8	1	17102	1	-268604323	2136	1068,2
3	8	1	17132	1	-268604627	2672	2672
3	8	1	17170	1	-268604995	2304	1152,2
3	8	1	17209	2	-268605395	3536	1768,2
3	8	1	17268	1	-268605947	4120	4120
3	8	1	17386	1	-268607139	3882	3882
3	8	1	17402	1	-268607299	2672	2672
3	8	1	17444	2	-268607699	9590	9590
3	8	1	17461	2	-268607883	3168	396,4,2
3	8	1	17486	2	-268608131	5160	2580,2
3	8	1	17508	3	-268608355	1692	1692
3	8	1	17570	1	-268608955	3832	1916,2
3	8	1	17722	1	-268610451	4624	2312,2
3	8	1	17814	2	-268611371	6198	6198
3	8	1	17903	1	-268612219	2812	1406,2
3	8	1	17974	1	-268612915	2992	1496,2
3	8	1	17982	1	-268612987	2136	2136
3	8	1	18045	1	-268613611	3498	3498
3	8	1	18129	1	-268614443	4588	4588
3	8	1	18133	1	-268614491	8854	8854
3	8	1	18180	1	-268614947	6847	6847
3	8	1	18211	2	-268615259	7568	1892,2,2
3	8	1	18228	1	-268615427	4256	4256
3	8	1	18234	1	-268615491	4396	2198,2
3	8	1	18244	1	-268615587	2280	2280
3	8	1	18269	2	-268615835	5580	2790,2
3	8	1	18310	1	-268616235	5120	640,2,2,2
3	8	1	18319	2	-268616339	8590	8590
3	8	1	18402	1	-268617147	2076	1038,2
3	8	1	18428	1	-268617403	2130	2130
3	8	1	18474	1	-268617859	3409	3409
3	8	1	18475	1	-268617867	2096	524,2,2
3	8	1	18493	1	-268618043	2858	2858
3	8	1	18524	1	-268618339	3972	3972
3	8	1	18545	1	-268618555	3000	1500,2
3	8	1	18549	1	-268618603	1664	832,2
3	8	1	18551	1	-268618619	7624	3812,2
3	8	1	18613	2	-268619219	6142	6142
3	8	1	18629	1	-268619379	4408	2204,2
3	8	1	18686	1	-268619947	2100	2100
3	8	1	18804	1	-268621099	4228	4228
3	8	1	18810	1	-268621147	2070	2070
3	8	1	18812	1	-268621171	2592	324,4,2
3	8	1	18853	1	-268621571	7412	7412
3	8	1	19056	2	-268623563	6150	6150
3	8	1	19115	1	-268624147	2000	1000,2
3	8	1	19156	1	-268624555	2884	1442,2
3	8	1	19334	1	-268626299	5964	2982,2
3	8	1	19394	2	-268626883	2064	1032,2
3	8	1	19398	2	-268626923	4108	4108
3	8	1	19425	1	-268627187	5344	1336,2,2
3	8	1	19476	2	-268627683	2640	660,2,2
3	8	1	19495	1	-268627867	2351	2351
3	8	1	19533	1	-268628251	3164	1582,2
3	8	1	19534	1	-268628259	3760	940,2,2
3	8	1	19549	2	-268628435	5936	2968,2
3	8	1	19617	1	-268629091	3805	3805
3	8	1	19621	2	-268629131	5707	5707
3	8	1	19684	1	-268629747	2594	2594
3	8	1	19700	2	-268629915	2024	506,2,2
3	8	1	19803	1	-268630907	7020	7020
3	8	1	19805	1	-268630923	2184	546,2,2
3	8	1	19806	1	-268630931	6992	6992
3	8	1	19842	2	-268631299	5857	5857
3	8	1	19847	1	-268631347	3127	3127
3	8	1	19916	3	-268632035	4960	1240,2,2
3	8	1	19933	1	-268632211	3388	3388
3	8	1	20096	1	-268633803	2340	1170,2
3	8	1	20124	2	-268634083	2020	2020
3	8	1	20176	1	-268634587	1924	962,2
3	8	1	20268	1	-268635515	3712	928,2,2
3	8	1	20284	1	-268635659	7080	3540,2
3	8	1	20374	1	-268636547	3465	3465
3	8	1	20380	1	-268636619	9004	4502,2
3	8	1	20400	2	-268636827	2336	2336
3	8	1	20615	1	-268638963	3672	612,6
3	8	1	20689	2	-268639667	3808	3808
3	8	1	20780	2	-268640603	4288	2144,2
3	8	1	20828	1	-268641067	1656	1656
3	8	1	20857	1	-268641355	2496	624,4
3	8	1	20866	1	-268641443	3840	960,2,2
3	8	1	20903	1	-268641811	3250	3250
3	8	1	20906	1	-268641843	2344	1172,2
3	8	1	20935	1	-268642131	5430	5430
3	8	1	20989	1	-268642659	6024	3012,2
3	8	1	21010	1	-268642867	2500	2500
3	8	1	21045	1	-268643219	6212	3106,2
3	8	1	21046	1	-268643227	3250	3250
3	8	1	21050	2	-268643283	4884	2442,2
3	8	1	21080	2	-268643555	4624	1156,4
3	8	1	21104	1	-268643803	2100	1050,2
3	8	1	21111	1	-268643867	3292	3292
3	8	1	21120	1	-268643955	4292	2146,2
3	8	1	21214	1	-268644907	2386	2386
3	8	1	21244	3	-268645211	8686	8686
3	8	1	21408	1	-268646827	1847	1847
3	8	1	21446	1	-268647195	3280	410,2,2,2
3	8	1	21454	1	-268647267	2368	1184,2
3	8	1	21502	1	-268647747	2496	1248,2
3	8	1	21627	1	-268648963	1296	648,2
3	8	1	21635	1	-268649035	2144	1072,2
3	8	1	21639	1	-268649067	1816	1816
3	8	1	21644	1	-268649131	3576	1788,2
3	8	1	21680	2	-268649483	2850	2850
3	8	1	21710	1	-268649771	7190	7190
3	8	1	21734	1	-268650003	3884	1942,2
3	8	1	21740	1	-268650059	7942	7942
3	8	1	21782	2	-268650483	3748	1874,2
3	8	1	21879	1	-268651419	3510	3510
3	8	1	21891	2	-268651547	4580	2290,2
3	8	1	21893	2	-268651571	5258	5258
3	8	1	21897	1	-268651603	3160	790,2,2
3	8	1	21916	1	-268651795	4160	2080,2
3	8	1	21973	2	-268652379	4944	2472,2
3	8	1	21980	1	-268652443	2232	372,6
3	8	1	22001	1	-268652635	2484	1242,2
3	8	1	22018	1	-268652803	2802	2802
3	8	1	22060	1	-268653227	5472	1368,4
3	8	1	22071	1	-268653331	2532	2532
3	8	1	22087	1	-268653499	2532	1266,2
3	8	1	22135	1	-268653963	2216	1108,2
3	8	1	22188	2	-268654483	2284	1142,2
3	8	1	22214	1	-268654739	7053	7053
3	8	1	22218	1	-268654771	3216	1608,2
3	8	1	22234	2	-268654931	8884	4442,2
3	8	1	22264	1	-268655203	2314	2314
3	8	1	22278	2	-268655363	3417	3417
3	8	1	22281	2	-268655395	2472	2472
3	8	1	22282	1	-268655403	2392	598,2,2
3	8	1	22312	1	-268655691	5176	5176
3	8	1	22330	2	-268655883	3036	1518,2
3	8	1	22355	1	-268656107	4264	4264
3	8	1	22371	1	-268656267	3552	888,2,2
3	8	1	22378	1	-268656339	4736	1184,2,2
3	8	1	22385	1	-268656411	4160	4160
3	8	1	22439	2	-268656963	2780	1390,2
3	8	1	22451	1	-268657067	5832	2916,2
3	8	1	22452	3	-268657091	7456	3728,2
3	8	1	22511	1	-268657691	4797	4797
3	8	1	22520	2	-268657787	5256	5256
3	8	1	22621	1	-268658779	3149	3149
3	8	1	22623	1	-268658795	4432	4432
3	8	1	22667	1	-268659235	3152	1576,2
3	8	1	22675	1	-268659331	5222	5222
3	8	1	22724	1	-268659787	1952	1952
3	8	1	22739	1	-268659931	2226	2226
3	8	1	22744	1	-268659979	3056	1528,2
3	8	1	22766	1	-268660227	4624	1156,2,2
3	8	1	22776	2	-268660331	6290	6290
3	8	1	22858	2	-268661123	5514	5514
3	8	1	22895	1	-268661467	1704	1704
3	8	1	22908	1	-268661587	2979	2979
3	8	1	22910	1	-268661603	2862	2862
3	8	1	22966	1	-268662163	2128	532,2,2
3	8	1	22979	1	-268662299	7216	1804,2,2
3	8	1	23027	1	-268662755	5176	1294,2,2
3	8	1	23055	1	-268663035	3048	762,2,2
3	8	1	23078	1	-268663267	2196	1098,2
3	8	1	23100	1	-268663467	2312	1156,2
3	8	1	23145	1	-268663907	4120	2060,2
